Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,VJ35,VJ36,VJ68,VJ37,VJ38,VJ39,VJ40,VJ41,VJ42,VJ43,VJ44,VJ45,VJ57,VJ58,VJ59,VJ46,VJ47,VJ48,VJ49,VJ50,VJ51,VJ52,VJ53,VJ54,VJ55,VJ56,VJ60,VJ61,VJ62,VJ63,VJ64,VJ65,VJ66,VJ67
Line,->,->,->,->,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
RouteID,->,->,->,->,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2
Journey Code,->,->,->,->,110645,110800,110825,111000,111100,111200,111300,111400,111500,111600,111700,111800,112000,112200,112320,610800,610830,611000,611100,611200,611300,611400,611500,611600,611700,611800,612000,612200,612320,711000,711200,711400,711600,711800
Journey Pattern ,->,->,->,->,JP6,JP6,JP8,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP7,JP7,JP7,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP7,JP7,JP7,JP7,JP7,JP7,JP7,JP7
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Sunday,Sunday,Sunday,Sunday,Sunday
6,3390ME04,-,-,Ryehill Street,06:49,08:04,08:29,10:04,11:04,12:04,13:04,14:04,15:04,16:04,17:04,18:04,20:04,22:04,23:24,08:04,08:34,10:04,11:04,12:04,13:04,14:04,15:04,16:04,17:04,18:04,20:04,22:04,23:24,10:04,12:04,14:04,16:04,18:04
7,3390ME05,-,-,Victoria Embankment,06:50,08:05,08:30,10:05,11:05,12:05,13:05,14:05,15:05,16:05,17:05,18:05,20:04,22:04,23:24,08:05,08:35,10:05,11:05,12:05,13:05,14:05,15:05,16:05,17:05,18:05,20:04,22:04,23:24,10:04,12:04,14:04,16:04,18:04
9,3300RU0003,-,-,County Hall,06:51,08:06,08:31,10:06,11:06,12:06,13:06,14:06,15:06,16:06,17:06,18:06,20:05,22:05,23:25,08:06,08:36,10:06,11:06,12:06,13:06,14:06,15:06,16:06,17:06,18:06,20:05,22:05,23:25,10:05,12:05,14:05,16:05,18:05
10,3300RU0111,-,-,Victoria Road,06:52,08:07,08:32,10:07,11:07,12:07,13:07,14:07,15:07,16:07,17:07,18:07,20:07,22:07,23:27,08:07,08:37,10:07,11:07,12:07,13:07,14:07,15:07,16:07,17:07,18:07,20:07,22:07,23:27,10:07,12:07,14:07,16:07,18:07
11,3300RU0113,-,-,Chestnut Grove,06:53,08:08,08:33,10:08,11:08,12:08,13:08,14:08,15:08,16:08,17:08,18:08,20:07,22:07,23:27,08:08,08:38,10:08,11:08,12:08,13:08,14:08,15:08,16:08,17:08,18:08,20:07,22:07,23:27,10:07,12:07,14:07,16:07,18:07
12,3300RU0114,-,-,Chaworth Road,06:54,08:09,08:34,10:09,11:09,12:09,13:09,14:09,15:09,16:09,17:09,18:09,20:08,22:08,23:28,08:09,08:39,10:09,11:09,12:09,13:09,14:09,15:09,16:09,17:09,18:09,20:08,22:08,23:28,10:08,12:08,14:08,16:08,18:08
13,3300RU0230,-,-,ASDA,06:55,08:10,08:35,10:10,11:10,12:10,13:10,14:10,15:10,16:10,17:10,18:10,20:09,22:09,23:29,08:10,08:40,10:10,11:10,12:10,13:10,14:10,15:10,16:10,17:10,18:10,20:09,22:09,23:29,10:09,12:09,14:09,16:09,18:09
14,3300RU0145,-,-,Fire Station,06:55,08:10,08:36,10:10,11:10,12:10,13:10,14:10,15:10,16:10,17:10,18:10,20:09,22:09,23:29,08:10,08:40,10:10,11:10,12:10,13:10,14:10,15:10,16:10,17:10,18:10,20:09,22:09,23:29,10:09,12:09,14:09,16:09,18:09
15,3300RU0572,-,-,Stanhome Drive,06:56,08:11,08:37,10:11,11:11,12:11,13:11,14:11,15:11,16:11,17:11,18:11,20:10,22:10,23:30,08:11,08:41,10:11,11:11,12:11,13:11,14:11,15:11,16:11,17:11,18:11,20:10,22:10,23:30,10:10,12:10,14:10,16:10,18:10
16,3300RU0485,-,-,Cemetery,06:56,08:11,08:38,10:11,11:11,12:11,13:11,14:11,15:11,16:11,17:11,18:11,20:10,22:10,23:30,08:11,08:41,10:11,11:11,12:11,13:11,14:11,15:11,16:11,17:11,18:11,20:10,22:10,23:30,10:10,12:10,14:10,16:10,18:10
