Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Line,->,->,->,->,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
RouteID,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Journey Code,->,->,->,->,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journey Pattern ,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday
25,3300RU0622,-,-,Hoe Nook,-,-,-,-,08:48,08:48,09:38,09:38,10:48,10:48,11:58,11:58,13:08,13:08,14:18,14:18,15:28,15:28,16:48,16:48,17:48,17:48,-,-
26,3300RU0729,-,-,Kinoulton Road,-,-,-,-,08:48,08:48,09:38,09:38,10:48,10:48,11:58,11:58,13:08,13:08,14:18,14:18,15:28,15:28,16:49,16:49,17:49,17:49,-,-
27,3300RU0287,-,-,Church Street,06:38,06:38,07:27,07:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:43,18:43
28,3300RU0285,-,-,The Maltings,06:38,06:38,07:27,07:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:43,18:43
29,3300RU0295,-,-,Etheldene,06:38,06:38,07:27,07:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:43,18:43
30,3300RU0334,-,-,Tithby Road,06:39,06:39,07:28,07:28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:44,18:44
31,3300RU0297,-,-,Main Street,06:40,06:40,07:29,07:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:45,18:45
32,3300RU0298,-,-,The Green,06:41,06:41,07:30,07:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:46,18:46
33,3300RU0926,-,-,Fieldfare Road,06:43,06:43,07:33,07:33,08:53,08:53,09:43,09:43,10:53,10:53,12:03,12:03,13:13,13:13,14:23,14:23,15:33,15:33,16:54,16:54,17:54,17:54,18:49,18:49
34,3300RU0927,-,-,Maygreen Avenue,06:43,06:43,07:33,07:33,08:53,08:53,09:43,09:43,10:53,10:53,12:03,12:03,13:13,13:13,14:23,14:23,15:33,15:33,16:54,16:54,17:54,17:54,18:49,18:49
