Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Line,->,->,->,->,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
RouteID,->,->,->,->,5,5,5,5,6,6,7,7,7,7,7,7,8,8,9,9,8,8,9,9,6,6
Journey Code,->,->,->,->,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journey Pattern ,->,->,->,->,5,5,5,5,6,6,7,7,7,7,7,7,8,8,9,9,8,8,9,9,6,6
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday
16,3390BU35,-,-,Duke Street,07:08,07:08,08:08,08:08,09:08,09:08,11:08,11:08,13:08,13:08,15:08,15:08,16:08,16:08,-,-,17:08,17:08,-,-,18:13,18:13
17,3390BU07,-,-,Bulwell Bus Station,07:10,07:10,08:10,08:10,09:10,09:10,11:10,11:10,13:10,13:10,15:10,15:10,16:10,16:10,-,-,17:10,17:10,-,-,18:15,18:15
18,3390BU45,-,-,Sellers Wood Drive,07:10,07:10,08:10,08:10,09:10,09:10,11:10,11:10,13:10,13:10,15:10,15:10,16:10,16:10,-,-,17:10,17:10,-,-,18:15,18:15
19,3390BU46,-,-,Coventry Court,07:11,07:11,08:11,08:11,09:11,09:11,11:11,11:11,13:11,13:11,15:11,15:11,16:11,16:11,-,-,17:11,17:11,-,-,18:16,18:16
20,3390BU47,-,-,Glenn's,07:12,07:12,08:12,08:12,09:12,09:12,11:12,11:12,13:12,13:12,15:12,15:12,16:12,16:12,-,-,17:12,17:12,-,-,18:17,18:17
21,3390BU48,-,-,Leonard Street,07:13,07:13,08:13,08:13,09:13,09:13,11:13,11:13,13:13,13:13,15:13,15:13,16:13,16:13,-,-,17:13,17:13,-,-,18:18,18:18
22,3390BU49,-,-,Headstocks,07:14,07:14,08:14,08:14,09:14,09:14,11:14,11:14,13:14,13:14,15:14,15:14,16:14,16:14,-,-,17:14,17:14,-,-,18:19,18:19
23,3390CI30,-,-,Phoenix Park Interchange,07:18,07:18,08:18,08:18,09:18,09:18,11:18,11:18,13:18,13:18,15:18,15:18,16:18,16:18,16:34,16:34,17:18,17:18,17:54,17:54,18:23,18:23
24,3300BR0471,-,-,The Nuthall,07:18,07:18,08:18,08:18,09:18,09:18,11:18,11:18,13:18,13:18,15:18,15:18,-,-,16:34,16:34,-,-,17:54,17:54,18:23,18:23
25,3300BR0290,-,-,Woodland Drive,07:19,07:19,08:19,08:19,09:19,09:19,11:19,11:19,13:19,13:19,15:19,15:19,-,-,16:35,16:35,-,-,17:55,17:55,18:24,18:24
